year,price,change
Jul-04,58.01,-10.24%
Aug-04,55.15,-4.94%
Sep-04,57.16,3.65%
Oct-04,53.11,-7.09%
Nov-04,48.72,-8.26%
Dec-04,47.06,-3.41%
Jan-05,49.45,5.07%
Feb-05,50.67,2.47%
Mar-05,54.18,6.93%
Apr-05,55.11,1.73%
May-05,53.49,-2.94%
Jun-05,51.87,-3.04%
Jul-05,52.68,1.57%
Aug-05,51.91,-1.45%
Sep-05,53.14,2.36%
Oct-05,57.37,7.97%
Nov-05,57.16,-0.38%
Dec-05,57.07,-0.15%
Jan-06,57.27,0.35%
Feb-06,58.52,2.17%
Mar-06,56.48,-3.47%
Apr-06,55.74,-1.32%
May-06,54.49,-2.24%
Jun-06,56.19,3.11%
Jul-06,56.68,0.87%
Aug-06,61.43,8.39%
Sep-06,59.96,-2.40%
Oct-06,57.29,-4.45%
Nov-06,56.97,-0.56%
Dec-06,58.47,2.64%
Jan-07,57.64,-1.42%
Feb-07,56.53,-1.93%
Mar-07,56.79,0.47%
Apr-07,53.11,-6.48%
May-07,49.77,-6.30%
Jun-07,54.62,9.76%
Jul-07,60.62,10.99%
Aug-07,60,-1.03%
Sep-07,60.51,0.85%
Oct-07,60.06,-0.74%
Nov-07,60.74,1.13%
Dec-07,60.34,-0.65%
Jan-08,63.39,5.05%
Feb-08,65.55,3.41%
Mar-08,71.43,8.97%
Apr-08,66.45,-6.97%
May-08,68.66,3.33%
Jun-08,72.79,6.01%
Jul-08,72.82,0.04%
Aug-08,73.85,1.42%
Sep-08,73.81,-0.06%
Oct-08,66.64,-9.72%
Nov-08,59.29,-11.02%
Dec-08,59.34,0.08%
Jan-09,62.03,4.52%
Feb-09,60.05,-3.19%
Mar-09,58.45,-2.67%
Apr-09,62.59,7.09%
May-09,66.49,6.24%
Jun-09,64.49,-3.00%
Jul-09,69.37,7.55%
Aug-09,68.61,-1.09%
Sep-09,68.3,-0.46%
Oct-09,68.68,0.56%
Nov-09,73.58,7.13%
Dec-09,78.34,6.47%
Jan-10,78.53,0.25%
Feb-10,81.53,3.82%
Mar-10,85.99,5.47%
Apr-10,86.33,0.39%
May-10,91.08,5.51%
Jun-10,95.46,4.80%
Jul-10,87.18,-8.67%
Aug-10,92.67,6.29%
Sep-10,106.35,14.76%
Oct-10,123.92,16.53%
Nov-10,153.03,23.49%
Dec-10,167.13,9.21%
Jan-11,178.81,6.99%
Feb-11,213.64,19.48%
Mar-11,227.65,6.56%
Apr-11,212.16,-6.80%
May-11,163.87,-22.76%
Jun-11,142.63,-12.96%
Jul-11,119.48,-16.23%
Aug-11,114.1,-4.50%
Sep-11,123.14,7.92%
Oct-11,120.15,-2.43%
Nov-11,117.1,-2.54%
Dec-11,110.55,-5.59%
Jan-12,114.24,3.34%
Feb-12,109.14,-4.46%
Mar-12,110.21,0.97%
Apr-12,113.97,3.41%
May-12,105.96,-7.03%
Jun-12,101.41,-4.29%
Jul-12,102.72,1.29%
Aug-12,103.34,0.60%
Sep-12,101.48,-1.80%
Oct-12,95.85,-5.54%
Nov-12,97.4,1.61%
Dec-12,100.49,3.17%
Jan-13,102.65,2.15%
Feb-13,106.41,3.66%
Mar-13,113.13,6.31%
Apr-13,110.38,-2.43%
May-13,112.27,1.71%
Jun-13,119.57,6.51%
Jul-13,121.95,1.99%
Aug-13,128.95,5.74%
Sep-13,126.74,-1.71%
Oct-13,121.41,-4.20%
Nov-13,117.27,-3.42%
Dec-13,119.56,1.96%
Jan-14,124.89,4.46%
Feb-14,128.93,3.23%
Mar-14,130.47,1.19%
Apr-14,125.54,-3.78%
May-14,121.06,-3.57%
Jun-14,119.43,-1.35%
Jul-14,111.12,-6.96%
Aug-14,99.26,-10.67%
Sep-14,98.63,-0.63%
Oct-14,95.09,-3.59%
Nov-14,91.9,-3.36%
Dec-14,94.69,3.04%
Jan-15,91.96,-2.89%
Feb-15,95.52,3.87%
Mar-15,95.55,0.03%
Apr-15,99.19,3.82%
May-15,102.73,3.57%
Jun-15,102.18,-0.54%
Jul-15,101.83,-0.34%
Aug-15,102.81,0.96%
Sep-15,100.65,-2.11%
Oct-15,98.91,-1.72%
Nov-15,101.06,2.17%
Dec-15,103.22,2.14%
Jan-16,102.29,-0.91%
Feb-16,100.32,-1.92%
Mar-16,96.56,-3.74%
Apr-16,101.7,5.32%
May-16,103.67,1.94%
Jun-16,109.67,5.78%
Jul-16,120.32,9.71%
Aug-16,118.48,-1.53%
Sep-16,114.8,-3.11%
Oct-16,115.49,0.60%
Nov-16,117.5,1.74%
Dec-16,118.82,1.13%
Jan-17,123.96,4.32%
Feb-17,126.15,1.77%
Mar-17,125.9,-0.20%
Apr-17,123.87,-1.61%
May-17,125.62,1.41%
Jun-17,120.5,-4.08%
Jul-17,119.21,-1.06%
Aug-17,111.94,-6.10%
Sep-17,114.74,2.50%
Oct-17,112.6,-1.87%
Nov-17,114.82,1.98%
Dec-17,120.78,5.18%
Jan-18,127.93,5.92%
Feb-18,125.53,-1.87%
Mar-18,131.97,5.13%
Apr-18,133.3,1.00%
May-18,140.49,5.40%
Jun-18,145.76,3.75%
Jul-18,145.65,-0.07%
Aug-18,144.63,-0.70%
Sep-18,143.88,-0.52%
Oct-18,140.61,-2.27%
Nov-18,137.18,-2.44%
Dec-18,134.58,-1.90%
Jan-19,128.77,-4.32%
Feb-19,127.46,-1.01%
Mar-19,128.54,0.84%
Apr-19,133.3,3.71%
May-19,123.53,-7.33%
Jun-19,118.74,-3.87%
Jul-19,114.91,-3.23%
Aug-19,110.99,-3.41%
Sep-19,111.99,0.91%
Oct-19,115.81,3.41%
Nov-19,117.86,1.76%
Dec-19,118.88,0.87%
Jan-20,124.11,4.40%
Feb-20,120.75,-2.71%
Mar-20,110.73,-8.30%
Apr-20,106.66,-3.67%
May-20,109.71,2.85%
Jun-20,112.81,2.82%
Jul-20,113.28,0.42%
Aug-20,114.99,1.52%
Sep-20,114.66,-0.29%
Oct-20,121.23,5.74%
Nov-20,127,4.75%
Dec-20,131.85,3.82%
Jan-21,140.37,6.46%
Feb-21,149.17,6.27%
Mar-21,147.04,-1.43%
Apr-21,148.84,1.22%
May-21,146.72,-1.42%
Jun-21,153,4.28%
Jul-21,160.22,4.72%
Aug-21,165.42,3.25%
Sep-21,168.58,1.91%
Oct-21,194,15.08%
Nov-21,207.81,7.12%
Dec-21,200.18,-3.67%
Jan-22,216.64,8.23%
Feb-22,228.85,5.63%
Mar-22,237.12,3.61%
Apr-22,260.54,9.88%
May-22,279.09,7.12%
Jun-22,265.47,-4.88%
Jul-22,230.1,-13.32%
Aug-22,217.98,-5.27%
Sep-22,207.84,-4.65%
Oct-22,181.13,-12.85%
Nov-22,182.48,0.74%
Dec-22,182.84,0.20%
Jan-23,180.97,-1.02%
Feb-23,180.9,-0.04%
Mar-23,172.81,-4.47%
Apr-23,172.24,-0.33%
May-23,170.43,-1.05%
Jun-23,167.79,-1.55%
Jul-23,168.46,0.40%
Aug-23,174.68,3.69%
Sep-23,179.41,2.71%
Oct-23,175.62,-2.11%
Nov-23,165.75,-5.62%
Dec-23,166.6,0.51%
Jan-24,168.76,1.29%
Feb-24,182.52,8.16%
Mar-24,182.59,0.04%
Apr-24,165.97,-9.10%
